date,soc_initial,soc_terminal,plan_cost,emergency_cost,total_cost,plan_energy,emergency_energy,curtailment_energy
2025-02-01,6000.3167690836135,6000.376136234869,20771.29124834058,0.0,20771.29124834058,40317.55270411927,0.0,2191.1291555609214
2025-02-02,6000.376136234869,6000.426674012648,54050.889273328234,0.0,54050.889273328234,86190.61560960181,0.0,3449.138432457376
2025-02-03,6000.426674012648,6000.464136420055,54358.876937321635,0.0,54358.876937321635,86555.45208107663,0.0,1917.2577283083574
2025-02-04,6000.464136420055,6000.464136420055,53246.2406148797,5964.122759173689,59210.36337405339,85186.11137755562,926.7383337680934,317.41571861904663
2025-02-05,6000.464136420055,6000.473294568203,53689.57562124962,1315.9767000506613,55005.55232130028,85776.97309803142,271.76892426190363,705.4408863903564
2025-02-06,6000.473294568203,6000.474764568203,53702.39223750518,53.421651767695515,53755.813889272875,85766.78175834272,9.153682532467656,944.9888235460429
2025-02-07,6000.474764568203,6000.519378413003,19907.462497923036,0.0,19907.462497923036,38406.6820929621,0.0,2837.5993034381754
2025-02-08,6000.519378413003,6000.579699312474,19521.96783494456,0.0,19521.96783494456,37675.42092629056,0.0,2514.25963148736
2025-02-09,6000.579699312474,6000.579699312474,53221.25641719424,0.9014164542323925,53222.157833648474,85048.65707734725,0.12921680823285442,894.9160342752668
2025-02-10,6000.579699312474,6000.579699312474,52925.80608213279,0.29086979379822153,52926.096951926585,84813.13106602011,0.0416957846614423,6463.205702493829
2025-02-11,6000.579699312474,6000.582088201364,52096.122084719114,0.0,52096.122084719114,83465.87545584617,0.0,3972.1259136008266
2025-02-12,6000.582088201364,6000.599930873321,51714.65153483421,0.0,51714.65153483421,82851.25608967445,0.0,3316.6672784244524
2025-02-13,6000.599930873321,6000.604264206656,51481.89019388352,0.0,51481.89019388352,82613.41764134946,0.0,7500.824297898293
2025-02-14,6000.604264206656,6000.973813148458,18913.708132586642,0.0,18913.708132586642,36470.60583550966,0.0,3149.8107882716004
2025-02-15,6000.973813148458,6001.441898333643,18913.08342706185,0.0,18913.08342706185,36362.29203242033,0.0,3642.8134793121735
2025-02-16,6001.441898333643,6001.447139074385,50548.61237830172,0.0,50548.61237830172,81255.29569517812,0.0,1613.3744932098812
2025-02-17,6001.447139074385,6001.45321314846,50095.823745366084,0.0,50095.823745366084,80752.2088472925,0.0,5736.038351969433
2025-02-18,6001.45321314846,6001.4593800796765,50055.62871952711,0.0,50055.62871952711,80592.77888371589,0.0,4563.0656991740125
2025-02-19,6001.4593800796765,6001.466824524122,48971.945044967186,0.0,48971.945044967186,79307.10900910536,0.0,2030.9256264275832
2025-02-20,6001.466824524122,6001.525572116715,48181.23016950024,0.0,48181.23016950024,78131.38778098642,0.0,2935.96484430335
2025-02-21,6001.525572116715,6001.525572116715,17917.31447824497,0.6044365835652763,17917.918914828537,34883.52409492624,0.12246714285589633,5925.612648061921
2025-02-22,6001.525572116715,6001.525572116715,17923.50938189531,2.349451548896259,17925.858833444207,34781.7768126687,0.4760311111126043,3593.876885377227
2025-02-23,6001.525572116715,6001.525572116715,47445.92448257549,7.9393616463374315,47453.86384422182,77124.337600661,1.3343139682522178,1314.4095582441676
2025-02-24,6001.525572116715,6001.525572116715,46943.720395091645,7.085699375883797,46950.80609446753,76340.06567775007,1.23219487301742,4149.987140843424
2025-02-25,6001.525572116715,6001.525572116715,46788.90622248197,5.674999942214415,46794.58122242419,76195.10464905994,0.9984573412687041,6501.516446364875
2025-02-26,6001.525572116715,6001.525572116715,46091.63877446388,1029.5186526942684,47121.15742715815,75272.6222129678,147.7440322831725,2522.154295506959
2025-02-27,6001.525572116715,6001.525572116715,45701.22586859073,690.3871724585042,46391.61304104923,74412.95231554475,139.87714765427688,3235.594335661364
2025-02-28,6001.525572116715,6001.538594656399,17268.1782088326,0.0,17268.1782088326,33608.31440089584,0.0,7044.513775666866
2025-03-01,6001.538594656399,6001.626179841584,16507.666702012113,591.093360594778,17098.760062606892,31717.62629617873,101.69855718253905,5045.716786484422
2025-03-02,6001.626179841584,6001.626179841584,43892.31667438104,30016.744892378385,73909.06156675942,71665.62701459,4448.807915952377,0.3540429512042793
2025-03-03,6001.626179841584,6001.626179841584,43911.46287430033,24707.15612965616,68618.61900395648,71819.08997906372,4114.503377916666,0.3753059523802449
2025-03-04,6001.626179841584,6001.626179841584,44915.2903711589,507.20526620414705,45422.49563736305,73625.25374872086,72.81471405254524,91.40998140634395
2025-03-05,6001.626179841584,6001.630082366474,44920.3631537575,1.4266073238139438,44921.78976108131,73440.8758828259,0.3045703082437967,3145.791254290986
2025-03-06,6001.630082366474,6002.454822380416,44417.20893009221,0.0,44417.20893009221,72706.58063735835,0.0,2678.654194809504
2025-03-07,6002.454822380416,6003.2847483063415,16310.963565201753,0.0,16310.963565201753,31374.936835119734,0.0,7454.670414218304
2025-03-08,6003.2847483063415,6004.059081639676,16492.135879449143,0.0,16492.135879449143,31795.42045480031,0.0,9723.647681018225
2025-03-09,6004.059081639676,6004.062192750789,44259.624170986805,0.0,44259.624170986805,72429.38060262107,0.0,5075.865014577714
2025-03-10,6004.062192750789,6004.062192750789,43181.07428756058,6326.635544501289,49507.70983206187,71076.84435503682,944.0615638879374,0.010733333332836992
2025-03-11,6004.062192750789,6004.0633627507905,43839.29310296735,0.0,43839.29310296735,72023.35825609684,0.0,4211.026437136979
2025-03-12,6004.0633627507905,6004.073307195234,43854.270777030266,0.0,43854.270777030266,72076.06188720818,0.0,5856.352306549761
2025-03-13,6004.073307195234,6004.073307195234,42975.624127330455,6863.81056068661,49839.43468801706,70616.73243799277,1004.926957255557,77.65219761904757
2025-03-14,6004.073307195234,6018.179029417457,15968.135867140913,0.0,15968.135867140913,30782.726445681983,0.0,11810.02063118048
2025-03-15,6018.179029417457,6034.825584973012,16440.09138862796,0.0,16440.09138862796,31533.13473639568,0.0,7602.08718771703
2025-03-16,6034.825584973012,6035.270761269311,43034.461072788596,0.0,43034.461072788596,71144.96049362709,0.0,3877.9192675447775
2025-03-17,6035.270761269311,6035.330205713754,42677.68497808621,0.0,42677.68497808621,70398.92156555867,0.0,8943.671902411737
2025-03-18,6035.330205713754,6035.915782750789,41493.71744321808,32.70049432227967,41526.417937540355,68810.85485435472,6.555175768723998,3545.567009171657
2025-03-19,6035.915782750789,6036.437288207343,41484.78576124726,0.0,41484.78576124726,68765.13301357045,0.0,5245.878401981599
2025-03-20,6036.437288207343,6036.485805116944,41670.945571296135,0.0,41670.945571296135,68755.7371574869,0.0,2595.5420155967972
2025-03-21,6036.485805116944,6059.313488111767,15753.137629758763,0.0,15753.137629758763,30596.22923587489,0.0,15614.235232067524
2025-03-22,6059.313488111767,6085.150424073533,15465.754560378844,0.0,15465.754560378844,30237.382008101275,0.0,11417.135811853443
2025-03-23,6085.150424073533,6085.202948135662,41032.986399817964,0.0,41032.986399817964,67824.40990711395,0.0,5148.30008432028
