day_index,date,history_days_used,candidate,method,quantile,margin_kw,historical_score,realized_candidate_score,mae_kw,daily_energy_error_kwh
0,2025-01-01,0,persistence_q80,persistence,0.8,0.0,,27819.95016378,1468.7909319444443,-35250.98236666666
1,2025-01-02,1,persistence_q80,persistence,0.8,0.0,,3869.7978261849994,61.1504520833333,479.1431500000002
2,2025-01-03,2,persistence_q80,persistence,0.8,21.023339999999756,,1956.4481500020006,89.82607472222215,-1818.0018933333304
3,2025-01-04,3,persistence_q80,persistence,0.8,25.36858000000052,,2296.0378391356653,72.71813263888897,-1002.2675366666706
4,2025-01-05,4,persistence_q80,persistence,0.8,32.36250000000007,,3139.6005329216646,79.99467569444444,162.62631666666493
5,2025-01-06,5,persistence_q80,persistence,0.8,59.93368000000003,,2786.923917794,59.116169444444445,-152.4907866666668
6,2025-01-07,6,persistence_q80,persistence,0.8,77.1341200000002,,6724.196268087662,121.45322749999998,1065.3998199999955
7,2025-01-08,7,mean14_q90,mean14,0.9,190.7239,6307.414847532344,2359.9252853380945,135.6436943452381,-3235.0679404761904
8,2025-01-09,8,mean14_q85,mean14,0.85,102.85561499999991,5784.135543335925,2957.5752781574174,91.85783428819438,-1007.8269704166638
9,2025-01-10,9,mean14_q90,mean14,0.9,206.64600000000019,5458.557735304255,2930.2725714214816,107.66434382716054,-2051.4330888888912
10,2025-01-11,10,mean14_q90,mean14,0.9,223.71990600000012,5205.729218915978,2360.3849631797993,125.67103719444448,-2965.7215786666684
11,2025-01-12,11,mean14_q85,mean14,0.85,139.65116714285702,4932.844207871861,2114.071132491009,68.44882309794372,-982.095826904761
12,2025-01-13,12,mean14_q85,mean14,0.85,145.1403372727266,4697.946451590123,3408.1985308766816,171.81660317655692,-4123.598476237366
13,2025-01-14,13,mean14_q85,mean14,0.85,134.61659249999985,4598.735073073704,2318.985343888533,122.66073778979691,-2937.5537377884593
