date,soc_initial,soc_terminal,baseline_cost,settlement_cost,emergency_cost,total_cost,additive_cost,up_energy,down_energy,reversal_slots,forecast_mae
2025-02-01,6000.445342460231,6000.504564682453,20623.881432241786,23581.078458301286,0.0,23581.078458301286,24103.45771303369,3241.9386311666694,694.3242361728406,17,209.60726208333332
2025-02-02,6000.504564682453,6000.555102460232,52473.5967393762,57135.036768959544,0.0,57135.036768959544,58002.01052819744,4093.5318203720335,1471.6814355223428,25,245.27098722222226
2025-02-03,6000.555102460232,6000.592564867639,55026.69110561602,57633.89623326159,0.0,57633.89623326159,59180.680442963254,2696.796696510599,2289.5989295202726,25,235.28744944444443
2025-02-04,6000.592564867639,6000.608890793564,56045.496376787225,60459.22158556606,0.0,60459.22158556606,63619.32212894109,4931.321850243469,4822.7551798515315,24,256.5983805555556
2025-02-05,6000.608890793564,6000.618048941711,52740.98618980181,59597.40842645786,0.0,59597.40842645786,60673.58530096231,6547.099395695475,1788.4758600474806,25,256.9772625
2025-02-06,6000.618048941711,6000.619518941711,56810.75115356615,59585.3039405616,122.98032063333329,59708.28426119493,63769.08792851487,3853.6109975579125,6041.398675070921,25,275.4728118055555
2025-02-07,6000.619518941711,6000.7557411639345,21144.119409592917,25301.080894425064,0.0,25301.080894425064,26302.033856578277,5426.920999166667,1572.6603063786042,17,291.3280669444445
2025-02-08,6000.7557411639345,6000.968889312083,18787.697865768485,23055.453142058537,0.0,23055.453142058537,23055.453142058537,4690.8499905000035,0.0,17,261.7457241666667
2025-02-09,6000.968889312083,6000.987324312083,53828.99738799113,58312.33877337959,0.0,58312.33877337959,59079.02917780477,4335.11074646629,1499.7505601131697,25,309.94522555555557
2025-02-10,6000.987324312083,6001.0124013491195,50509.652163751896,53348.09857652621,0.0,53348.09857652621,54400.3127681691,2658.972978406686,1950.3613419855958,18,235.07030909722218
2025-02-11,6001.0124013491195,6001.0147902380095,51584.156656246676,55905.459945041126,0.0,55905.459945041126,59363.11030940278,5342.927558666667,4713.509436224173,20,220.9513726388889
2025-02-12,6001.0147902380095,6001.050339312083,51594.478923365794,53957.73793918856,0.0,53957.73793918856,55545.26745715452,2581.191445500001,2395.1262802777783,25,208.67508590277774
2025-02-13,6001.050339312083,6001.054672645419,47298.598568893016,51689.96107601607,0.0,51689.96107601607,52192.64384493908,3889.884042619974,916.6904282201617,24,274.221937986111
2025-02-14,6001.054672645419,6001.113136854749,18580.43970105921,22749.62303222244,0.0,22749.62303222244,22750.290837168515,4584.339410591667,0.6765322116037282,17,270.5635221527778
2025-02-15,6001.113136854749,6002.013988706601,19071.544166532454,21685.004668941452,0.0,21685.004668941452,21912.48753491979,2528.844670383333,293.3280999999997,18,249.3376244444444
2025-02-16,6002.013988706601,6002.019229447343,52194.89874426265,54110.86248669551,0.0,54110.86248669551,57491.19315503975,2891.2981666666697,4810.0583076977355,23,189.87193263888898
2025-02-17,6002.019229447343,6002.025303521418,51249.07220626929,51615.398768293315,0.0,51615.398768293315,55007.07121969007,1646.970635462079,6210.595260946495,18,265.6144541666667
2025-02-18,6002.025303521418,6002.032322039936,45992.520542316895,53672.84428198497,0.0,53672.84428198497,55013.29888785639,7616.69465055992,2784.7517965535026,24,285.9184510416666
2025-02-19,6002.032322039936,6002.039766484381,46682.39117677217,53483.80833912026,0.0,53483.80833912026,53752.397011650086,5986.288815737109,478.58748544237704,24,237.90784097222217
2025-02-20,6002.039766484381,6002.098514076974,47685.15008871857,51876.134380042,0.0,51876.134380042,53314.150766917664,3983.5117101497563,2799.2107423937773,25,258.9261236111112
2025-02-21,6002.098514076974,6002.145304936251,17725.74853662375,21951.36448606881,0.0,21951.36448606881,21951.90268172309,4258.602689000003,0.5452677695299712,18,306.6003088888889
2025-02-22,6002.145304936251,6002.52825831774,18058.452654953533,21990.30839851834,0.0,21990.30839851834,21990.30839851834,4026.983417460688,0.0,18,256.4785055555555
2025-02-23,6002.52825831774,6002.52825831774,47315.911693403876,53395.66799778593,0.0,53395.66799778593,56232.53737611882,6507.9464975,4707.171580593941,25,307.21477895833334
2025-02-24,6002.52825831774,6002.616606836258,45704.49488440616,52626.04954000643,0.0,52626.04954000643,54899.75381975589,7828.987408333336,3876.6267534979447,24,361.7715006944445
2025-02-25,6002.616606836258,6002.617329058479,47081.57369649905,48930.4474586438,13.440699774999782,48943.8881584188,51553.17606826084,2945.6288374729183,4690.416154423869,24,335.9140756944445
2025-02-26,6002.617329058479,6002.878242206627,42323.20289345467,50867.804642753465,0.0,50867.804642753465,51102.19421669608,7795.137440997525,482.46109263374456,24,274.2253873611111
2025-02-27,6002.878242206627,6003.1536910955165,43341.51057427361,50101.4685517972,0.0,50101.4685517972,50490.92600268095,6122.478759989681,862.4876692592593,23,286.03710444444437
2025-02-28,6003.1536910955165,6003.585327785873,17346.02018532557,20407.07500139616,0.0,20407.07500139616,20509.207640870773,2817.2475258839067,111.32338203580383,15,313.58876722222226
2025-03-01,6003.585327785873,6004.027006697829,17512.234134601076,20016.59044009778,0.0,20016.59044009778,20428.61003206445,2296.1620057186046,532.5944999999999,12,238.16851374999996
2025-03-02,6004.027006697829,6004.0293770682,47366.803801124726,55602.01966266638,0.0,55602.01966266638,58383.30065695223,8503.221933999996,5123.992198361164,25,315.13512569444435
2025-03-03,6004.0293770682,6004.03261780894,49118.7196751229,52862.207593199884,0.0,52862.207593199884,55132.57961132628,3854.033846749997,4092.80842473856,19,226.23036562499988
2025-03-04,6004.03261780894,6004.035969660792,43060.36468465592,51277.04002241799,2.9262509333338245,51279.966273351325,52530.22435980918,7909.499373333334,2611.1024356378575,24,262.6788898611112
2025-03-05,6004.035969660792,6004.04011780894,45162.044893526145,49123.30503300681,15.605370533333913,49138.91040354014,52429.540771179214,4813.008362333332,5649.332713048949,24,264.6650909722222
2025-03-06,6004.04011780894,6004.916591417852,42375.3337449205,48612.36055553608,0.0,48612.36055553608,49609.27955455079,6533.06877780216,1857.6834481917494,23,252.91033451388887
2025-03-07,6004.916591417852,6005.746454841596,17108.247785571402,19159.30514186987,0.0,19159.30514186987,19961.741737459666,2064.0449446900993,1050.1894603585297,11,254.10432013888885
2025-03-08,6005.746454841596,6006.52078817493,16421.068538026117,19138.844344672365,0.0,19138.844344672365,19138.844344672365,2313.4627400890063,0.0,12,310.9853206944444
2025-03-09,6006.52078817493,6006.523899286043,44648.20984249662,47822.888778366265,0.0,47822.888778366265,51312.100142424046,4157.538069994704,6209.3002101617,10,296.6003354166667
2025-03-10,6006.523899286043,6006.525417804562,42543.08735846269,50196.6139441175,0.0,50196.6139441175,51103.972177574746,7259.082460500008,1940.2343838271695,24,302.10812013888915
2025-03-11,6006.525417804562,6006.526587804563,38130.48726061176,47939.001844088074,0.0,47939.001844088074,47942.182989088076,10768.174630144042,4.819916666666586,25,287.1745208333334
2025-03-12,6006.526587804563,6006.536532249006,43714.65205755331,45946.81238220874,0.0,45946.81238220874,48698.353118854975,3208.112973841828,4510.464209693288,11,288.2228076388889
2025-03-13,6006.536532249006,6006.553080787524,43822.169772601694,50245.00751983408,0.0,50245.00751983408,51269.078143961044,6212.803210504248,2200.2006324057534,24,323.6262038888888
2025-03-14,6006.553080787524,6006.966105431657,15838.907814427926,18535.74992121667,0.0,18535.74992121667,18547.91435073723,2263.6499348030766,12.323441015184926,14,270.52991444444444
2025-03-15,6006.966105431657,6023.612660987213,16197.330175952186,21235.327145278396,0.0,21235.327145278396,21235.327145278396,5431.455513513436,0.0,17,387.6414376388889
2025-03-16,6023.612660987213,6024.057837283512,42088.48749721925,48729.44365124226,0.0,48729.44365124226,50960.62526131062,8096.730374897116,3652.0195378021044,24,362.4169090277777
2025-03-17,6024.057837283512,6024.117281727955,38691.46644607924,42052.4722261764,0.0,42052.4722261764,42877.08200391406,4463.951881264849,1840.686800401238,18,284.046700625
2025-03-18,6024.117281727955,6024.702858764989,43806.33948022906,45977.60740573745,0.0,45977.60740573745,48433.85109262593,2956.42584438572,4728.678474138746,24,317.28624625
2025-03-19,6024.702858764989,6025.65560728351,36385.78534724629,45906.81863236062,0.0,45906.81863236062,45906.81863236062,10263.12049192386,0.0,23,317.3943371527778
2025-03-20,6025.65560728351,6025.7354150813035,41663.14349774364,46016.635622471986,0.0,46016.635622471986,49020.4325632586,6466.31592576388,4818.667359710278,9,245.14740701388894
2025-03-21,6025.7354150813035,6026.932036470443,15653.969237589494,17827.771916285605,0.0,17827.771916285605,17867.79787578355,1784.9967132968377,44.543748989360196,13,294.34137055555556
2025-03-22,6026.932036470443,6064.89181424822,15894.160364616753,18231.261489287826,0.0,18231.261489287826,18560.89950374783,2110.2389913032744,410.6913000000002,12,297.58175777777774
2025-03-23,6064.89181424822,6064.984258692663,42277.243832292996,47661.89334834759,0.0,47661.89334834759,51023.277445703876,6512.927218368146,5674.859557516798,25,395.30383874999995
2025-03-24,6064.984258692663,6065.732700914886,39207.35477926489,44260.79813826045,0.0,44260.79813826045,45134.986469708776,5361.541586884678,1992.6790166666663,29,362.2402277083332
2025-03-25,6065.732700914886,6065.7733490630335,44364.07806268905,46467.23950431935,0.0,46467.23950431935,49921.32181297301,3235.266035431614,6250.7320540717365,16,293.06031249999995
2025-03-26,6065.7733490630335,6065.7840157297005,38706.88559492588,44263.100595561344,0.0,44263.100595561344,46501.91433268731,7432.87641779067,3470.2421299534944,28,352.28357006944447
2025-03-27,6065.7840157297005,6066.184360845196,40602.60214747103,43232.44021051216,0.0,43232.44021051216,45312.599806267914,3729.529964615564,3834.0510184159357,31,289.2350836805555
2025-03-28,6066.184360845196,6068.804626159686,15716.657421161304,17576.04262204976,0.0,17576.04262204976,17846.76845669847,1665.1655816859193,293.5954510933942,18,322.45769624999997
2025-03-29,6068.804626159686,6138.340496530056,15245.391360614918,17308.64647837838,0.0,17308.64647837838,17308.64647837838,1708.6187328810342,0.0,17,341.3245088888888
2025-03-30,6138.340496530056,6143.306578196723,40232.686827809324,41729.68808053409,0.0,41729.68808053409,44465.409870795535,2860.0591482540426,4796.111147839503,25,285.2174284722222
2025-03-31,6143.306578196723,6148.823766900428,35621.5263021762,43196.18576882006,0.0,43196.18576882006,43810.04305826969,8728.988944954981,926.8114648148144,31,315.2467329166667
2025-04-01,6148.823766900428,6149.88261875228,42623.45415191313,45019.07206907273,0.0,45019.07206907273,47225.59148783255,3006.2059291714672,4546.062161005541,30,379.59875923611105
2025-04-02,6149.88261875228,6152.658211344872,40983.34854733428,46642.01103535561,0.0,46642.01103535561,48226.985094601594,5716.454234986142,3111.013226121402,30,369.359393125
2025-04-03,6152.658211344872,6152.699444535558,42310.19055796674,43987.599088498784,0.0,43987.599088498784,47422.1619970679,3264.035051014208,5448.312307398751,24,380.3072952083333
2025-04-04,6152.699444535558,6165.396357465119,15025.484142137531,16635.507790328767,0.0,16635.507790328767,16994.325174318616,1480.6057228731052,377.93878501903373,17,314.483255763889
2025-04-05,6165.396357465119,6295.6604115730825,15166.597330435714,16948.326308322183,0.0,16948.326308322183,17238.89991206502,1565.0469424280068,312.2457846361647,17,270.79941249999996
2025-04-06,6295.6604115730825,6295.720911573083,39390.561474570044,41919.71486409228,0.0,41919.71486409228,43384.799716303576,3372.7446758108977,2997.77942173361,22,372.8811986111111
2025-04-07,6295.720911573083,6310.25375898049,35142.60135974917,39951.53073646285,0.0,39951.53073646285,40344.96804809769,6415.566903876844,928.7699297472307,29,343.96746180555556
2025-04-08,6310.25375898049,6312.398981202711,41528.10924934695,43580.73086704504,0.0,43580.73086704504,47213.83682144235,3752.8169272222244,5927.825079935648,20,360.0111763888889
2025-04-09,6312.398981202711,6312.430296017527,40517.45869231721,45473.02066834165,0.0,45473.02066834165,48712.41343885126,7230.36456309168,5352.950620903207,30,351.4145165277779
2025-04-10,6312.430296017527,6318.831010689699,39903.245022969786,44604.315697608385,0.0,44604.315697608385,48097.02859727858,7116.222828198329,5178.569136372485,23,394.9801979861111
2025-04-11,6318.831010689699,6355.893664359996,14889.890698083582,16436.56415566876,308.5422311129155,16745.106386781674,17394.40737369153,1531.92772183013,695.1469516857028,18,285.27668645833336
