date,soc_initial,soc_terminal,plan_cost,emergency_cost,total_cost,plan_energy,emergency_energy,curtailment_energy
2025-02-01,6094.164645590184,6094.223867812406,16627.423121972322,0.0,16627.423121972322,40372.1232076756,0.0,2191.1293165931834
2025-02-02,6094.223867812406,6094.275052997591,59497.80990413706,0.0,59497.80990413706,86059.76046619532,0.0,3414.260962995293
2025-02-03,6094.275052997591,6094.312997442036,60843.23845137118,0.0,60843.23845137118,86451.49393907728,0.0,1871.5125469179907
2025-02-04,6094.312997442036,6094.312997442036,59675.03280958478,6038.702609688274,65713.73541927306,85139.83334039795,962.7384316341279,340.72530693161025
2025-02-05,6094.312997442036,6094.322275219814,60044.93237772628,1470.2929333138536,61515.225311040136,85851.98712445889,271.29109959523953,699.0071341196347
2025-02-06,6094.322275219814,6094.324090034633,59875.08466065867,65.88280503850736,59940.96746569718,85834.67088309617,9.153682532467656,942.9109070982311
2025-02-07,6094.324090034633,6094.333833698062,15956.29660987346,847.0617125110962,16803.358322384556,38852.66378483655,175.20975936507625,3053.919797505776
2025-02-08,6094.333833698062,6094.333833698062,15775.602377244173,0.8373665777262199,15776.439743821898,38945.01846373806,0.19598983679958337,3463.157680125203
2025-02-09,6094.333833698062,6094.333833698062,58869.528425814424,0.8577606670432658,58870.38618648147,84760.03306902679,0.12947330823294578,877.5512949632459
2025-02-10,6094.333833698062,6094.333833698062,57158.80648113834,0.27229432172041246,57159.07877546006,84715.72877218277,0.041695784659737,6360.226954825788
2025-02-11,6094.333833698062,6094.333833698062,57449.32099021788,1.6745492829887532,57450.995539500866,84225.82370874364,0.31265037705873056,4806.2467779750505
2025-02-12,6094.333833698062,6094.358702348856,55995.38364036902,0.0,55995.38364036902,82854.8705005428,0.0,3306.730177133547
2025-02-13,6094.358702348856,6094.411007904413,55115.17361250652,0.0,55115.17361250652,82549.08223769799,0.0,7315.823973110591
2025-02-14,6094.411007904413,6094.780556846215,14903.0826305554,0.0,14903.0826305554,36870.55255699498,0.0,3149.8202017048757
2025-02-15,6094.780556846215,6095.2486420314,15316.230286719905,0.0,15316.230286719905,36725.51033161363,0.0,3642.8134793121717
2025-02-16,6095.2486420314,6095.295162877963,54955.98660295554,0.0,54955.98660295554,81407.92138787213,0.0,1632.5405574074057
2025-02-17,6095.295162877963,6095.343055973201,54146.45977832553,0.0,54146.45977832553,80901.30143000846,0.0,5643.428865094069
2025-02-18,6095.343055973201,6095.408587190134,53419.66487565824,0.0,53419.66487565824,80690.44788415695,0.0,4407.230258932977
2025-02-19,6095.408587190134,6095.458961433522,53114.20011139183,0.0,53114.20011139183,80869.53888823971,0.0,3339.9869918665463
2025-02-20,6095.458961433522,6095.476568166327,52746.21756274704,0.0,52746.21756274704,79343.61072824564,0.0,4062.5074109413517
2025-02-21,6095.476568166327,6095.476568166327,14542.806141106683,0.4152352779792286,14543.221376384661,35583.20225194488,0.10405595238171372,6263.037809126982
2025-02-22,6095.476568166327,6095.476568166327,14545.298908621291,2.0719254111171157,14547.370834032408,35224.37199761775,0.47603111111249063,3593.874090035273
2025-02-23,6095.476568166327,6095.476568166327,50592.47204839616,7.95651140514744,50600.4285598013,77186.03681377202,1.3343139682522178,1308.584674181851
2025-02-24,6095.476568166327,6095.476568166327,49957.778329898865,7.24789789017479,49965.02622778904,76340.06591127402,1.231175206349235,4056.515828858707
2025-02-25,6095.476568166327,6095.4765681663275,49048.52649181564,5.703202173926428,49054.22969398957,76130.47225451047,0.9984573412694999,6340.770306643144
2025-02-26,6095.4765681663275,6095.4765681663275,48934.56202056687,714.8912127676258,49649.45323333449,75272.62244558499,110.94200425635165,2436.393943809132
2025-02-27,6095.4765681663275,6095.4765681663275,47217.572503489304,1064.863337063933,48282.43584055324,74412.95227654735,203.94944574920805,3302.3691099430202
2025-02-28,6095.4765681663275,6095.489590706012,13431.546271108038,0.0,13431.546271108038,33981.69004609836,0.0,7044.513039071528
2025-03-01,6095.489590706012,6095.577175891197,13009.582834870702,499.67878240649475,13509.261617277196,32470.464533346298,101.69299968253699,5045.716786484422
2025-03-02,6095.577175891197,6095.577175891197,46179.92475455208,28633.405196674314,74813.32995122639,71930.19125413883,4487.059110233329,31.904993903583104
2025-03-03,6095.577175891197,6095.577175891197,46079.777202647674,24977.905824057176,71057.68302670485,71965.65713413863,4114.853569050116,0.3753059523802449
2025-03-04,6095.577175891197,6095.577175891197,47242.409018828075,467.7943135829579,47710.20333241103,73777.79103006981,72.80911902516164,91.40998140634395
2025-03-05,6095.577175891197,6096.267693485784,46381.39121120177,0.575063315720464,46381.966274517494,73456.01266875608,0.11335764157706762,3160.193496450904
2025-03-06,6096.267693485784,6097.103675166393,46006.09615960688,0.0,46006.09615960688,72764.7803631385,0.0,2683.4388066737442
2025-03-07,6097.103675166393,6097.933601092319,12565.266134478621,0.0,12565.266134478621,31792.706384282927,0.0,7454.681822037233
2025-03-08,6097.933601092319,6098.707934425657,12749.507089963801,0.0,12749.507089963801,32686.65639253021,0.0,9723.657138014107
2025-03-09,6098.707934425657,6099.3147136849175,45118.35803308651,0.0,45118.35803308651,72632.59349865183,0.0,5073.582123065856
2025-03-10,6099.3147136849175,6099.3147136849175,46352.10443011671,1250.5425393048947,47602.64696942161,72130.8022047056,194.45537852665132,56.726683981148994
2025-03-11,6099.3147136849175,6099.316158129362,45396.78665510561,0.0,45396.78665510561,72045.07570721378,0.0,4179.876623605787
2025-03-12,6099.316158129362,6099.455343314548,44773.366952403405,0.0,44773.366952403405,72302.18973303455,0.0,5858.244188425431
2025-03-13,6099.455343314548,6099.455343314548,45531.90239202733,1610.3646142988082,47142.26700632614,71572.52646259664,250.4065641888988,161.48752141269836
2025-03-14,6099.455343314548,6113.561065536771,11999.336386034756,0.0,11999.336386034756,31739.572316508056,0.0,11810.086525213403
2025-03-15,6113.561065536771,6130.207621092329,12860.410815719173,0.0,12860.410815719173,32005.194424708694,0.0,7602.087621667646
2025-03-16,6130.207621092329,6130.748085907144,44219.22824116536,0.0,44219.22824116536,71254.6708099539,0.0,3846.859419024491
2025-03-17,6130.748085907144,6131.4303453515895,42745.55030393532,0.0,42745.55030393532,70398.92164232896,0.0,8937.309431004947
2025-03-18,6131.4303453515895,6132.015922388628,42077.315195859046,0.0,42077.315195859046,68938.56346917833,0.0,3537.4741995806394
2025-03-19,6132.015922388628,6132.9686709071475,41417.217978189256,0.0,41417.217978189256,68676.45263423352,0.0,4832.17941312563
2025-03-20,6132.9686709071475,6133.565154507307,42368.7729312037,0.0,42368.7729312037,68762.57442826101,0.0,2581.8250767919844
2025-03-21,6133.565154507307,6156.3928375021305,11864.386544482899,0.0,11864.386544482899,31149.444251051136,0.0,15614.236475277401
2025-03-22,6156.3928375021305,6182.229773463897,11797.36236186895,0.0,11797.36236186895,31068.134127923506,0.0,11417.137387367844
2025-03-23,6182.229773463897,6185.157632520688,41171.45366896392,0.0,41171.45366896392,67895.90455968329,0.0,5145.622689264479
2025-03-24,6185.157632520688,6190.510808760354,40532.75062174021,0.0,40532.75062174021,67083.27951120457,0.0,5138.036220694099
2025-03-25,6190.510808760354,6190.510808760354,40975.70736768891,1.007639102536573,40976.71500679145,67588.65511399151,0.15412038888598545,2328.088971048095
2025-03-26,6190.510808760354,6201.587320204001,39922.04751699944,0.0,39922.04751699944,66691.37753281978,0.0,7260.48342155734
2025-03-27,6201.587320204001,6216.163138501493,39750.59723444579,0.0,39750.59723444579,66403.33259118166,0.0,3799.2525081233653
2025-03-28,6216.163138501493,6235.6837190032875,11369.572130688193,0.0,11369.572130688193,29870.12110747623,0.0,15600.94016843586
2025-03-29,6235.6837190032875,6259.5348459248335,11538.187417356683,0.0,11538.187417356683,30288.706967072925,0.0,19083.86067107172
2025-03-30,6259.5348459248335,6263.496363244627,38145.87482520085,0.0,38145.87482520085,64982.762571718136,0.0,5806.809796078152
