t,time_label,source_label,price,load_kw,pv_kw,q_kwh,charge_kwh,discharge_kwh,E_kwh,curtail_kwh,y_binary
1,0:00-0:10,00:10:00,0.4248,3439.8466,0.0,1406.6410999999998,833.3333333333333,0.0,6750.0,0.0,1.0
2,0:10-0:20,00:20:00,0.4245,3437.9792,0.0,1406.3298666666665,833.3333333333333,0.0,7500.0,0.0,1.0
3,0:20-0:30,00:30:00,0.4269,3444.3031,0.0,1407.38385,833.3333333333333,0.0,8250.0,0.0,1.0
4,0:30-0:40,00:40:00,0.4272,3454.4437,0.0,1409.07395,833.3333333333333,0.0,9000.0,0.0,1.0
5,0:40-0:50,00:50:00,0.4271,3458.8273,0.0,1409.8045499999998,833.3333333333333,0.0,9750.0,0.0,1.0
6,0:50-1:00,01:00:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,0.0,9750.0,0.0,-0.0
7,1:00-1:10,01:10:00,0.4311,3467.1582,0.0,577.8597,0.0,0.0,9750.0,0.0,0.0
8,1:10-1:20,01:20:00,0.4302,3467.9632,0.0,577.9938666666667,0.0,0.0,9750.0,0.0,0.0
9,1:20-1:30,01:30:00,0.4279,3466.9683,0.0,911.1613833333333,333.3333333333333,0.0,10050.0,0.0,0.9999999999999978
10,1:30-1:40,01:40:00,0.4312,3482.4927,0.0,580.41545,0.0,0.0,10050.0,0.0,2.220446049250321e-15
11,1:40-1:50,01:50:00,0.4333,3495.0841,0.0,582.5140166666666,0.0,0.0,10050.0,0.0,0.0
12,1:50-2:00,02:00:00,0.4311,3498.4443,0.0,583.0740499999999,0.0,0.0,10050.0,0.0,0.0
13,2:00-2:10,02:10:00,0.4293,3505.2295,0.0,584.2049166666666,0.0,0.0,10050.0,0.0,-0.0
14,2:10-2:20,02:20:00,0.4324,3512.6387,0.0,585.4397833333333,0.0,0.0,10050.0,0.0,0.0
15,2:20-2:30,02:30:00,0.4367,3516.8685,0.0,586.1447499999999,0.0,0.0,10050.0,0.0,0.0
16,2:30-2:40,02:40:00,0.4348,3517.9246,0.0,586.3207666666666,0.0,0.0,10050.0,0.0,0.0
17,2:40-2:50,02:50:00,0.4335,3518.5518,0.0,586.4253,0.0,0.0,10050.0,0.0,0.0
18,2:50-3:00,03:00:00,0.4357,3521.0976,0.0,586.8496,0.0,0.0,10050.0,0.0,0.0
19,3:00-3:10,03:10:00,0.4374,3526.9261,0.0,587.8210166666667,0.0,0.0,10050.0,0.0,0.0
20,3:10-3:20,03:20:00,0.4371,3537.2854,0.0,589.5475666666666,0.0,0.0,10050.0,0.0,0.0
21,3:20-3:30,03:30:00,0.4356,3544.8808,0.0,590.8134666666666,0.0,0.0,10050.0,0.0,0.0
22,3:30-3:40,03:40:00,0.4353,3541.2787,0.0,590.2131166666666,0.0,0.0,10050.0,0.0,0.0
23,3:40-3:50,03:50:00,0.436,3546.3976,0.0,591.0662666666666,0.0,0.0,10050.0,0.0,0.0
24,3:50-4:00,04:00:00,0.4378,3560.207,0.0,593.3678333333332,0.0,0.0,10050.0,0.0,0.0
25,4:00-4:10,04:10:00,0.4401,3561.9581,0.0,593.6596833333333,0.0,0.0,10050.0,0.0,0.0
26,4:10-4:20,04:20:00,0.4389,3556.7183,0.0,592.7863833333333,0.0,0.0,10050.0,0.0,0.0
27,4:20-4:30,04:30:00,0.4364,3560.0272,0.0,593.3378666666666,0.0,0.0,10050.0,0.0,0.0
28,4:30-4:40,04:40:00,0.4393,3580.654,0.5994,596.6757666666666,0.0,0.0,10050.0,0.0,0.0
29,4:40-4:50,04:50:00,0.4422,3586.916,0.2345,597.78025,0.0,0.0,10050.0,0.0,0.0
30,4:50-5:00,05:00:00,0.4395,3571.2635,0.2885,595.1624999999999,0.0,0.0,10050.0,0.0,0.0
31,5:00-5:10,05:10:00,0.4333,3562.3171,18.6781,590.6065,0.0,0.0,10050.0,0.0,0.0
32,5:10-5:20,05:20:00,0.4439,3591.3809,54.4698,589.4851833333333,0.0,0.0,10050.0,0.0,0.0
33,5:20-5:30,05:30:00,0.4301,3579.7045,108.9718,578.4554499999999,0.0,0.0,10050.0,0.0,0.0
34,5:30-5:40,05:40:00,0.3713,3486.119,184.1603,1383.659783333333,833.3333333333333,0.0,10800.0,0.0,1.0
35,5:40-5:50,05:50:00,0.5708,3823.8994,277.0582,591.1401999999999,0.0,0.0,10800.0,0.0,-0.0
36,5:50-6:00,06:00:00,0.9099,4398.0727,388.5494,0.0,0.0,668.2538833333332,10057.495685185186,0.0,0.0
37,6:00-6:10,06:10:00,0.9368,4454.0123,521.2803,0.0,0.0,655.4553333333333,9329.211981481481,0.0,0.0
38,6:10-6:20,06:20:00,0.8758,4371.7919,672.7677,0.0,0.0,616.5040333333334,8644.2075,0.0,0.0
39,6:20-6:30,06:30:00,0.8759,4392.953,844.2261,0.0,0.0,591.4544833333334,7987.035851851852,0.0,0.0
40,6:30-6:40,06:40:00,0.8601,4384.5956,1039.6744,0.0,0.0,557.4868666666666,7367.606000000001,0.0,0.0
41,6:40-6:50,06:50:00,0.8442,4434.7757,1259.3375,0.0,0.0,529.2397,6779.561888888889,0.0,0.0
42,6:50-7:00,07:00:00,0.8334,4523.4561,1508.6318,0.0,0.0,502.4707166666667,6221.261092592593,0.0,0.0
43,7:00-7:10,07:10:00,0.8092,4524.0721,1791.4107,0.0,0.0,455.4435666666667,5715.212685185185,0.0,0.0
44,7:10-7:20,07:20:00,0.7972,4545.8867,2085.4865,0.0,0.0,410.0667,5259.583018518519,0.0,0.0
45,7:20-7:30,07:30:00,0.7644,4523.2418,2381.2611,0.0,0.0,356.99678333333327,4862.919925925926,0.0,0.0
46,7:30-7:40,07:40:00,0.6899,4383.3566,2683.1752,0.0,0.0,283.36356666666666,4548.071518518518,0.0,0.0
47,7:40-7:50,07:50:00,0.86,4910.4599,2986.3552,0.0,0.0,320.68411666666657,4191.755833333333,0.0,0.0
48,7:50-8:00,08:00:00,1.1617,5799.7327,3289.204,0.0,0.0,418.42144999999994,3726.8431111111104,0.0,0.0
49,8:00-8:10,08:10:00,1.1683,5884.826,3593.3613,0.0,0.0,381.91078333333326,3302.4977962962957,0.0,0.0
50,8:10-8:20,08:20:00,1.0956,5748.0713,3890.7332,0.0,0.0,309.55634999999995,2958.5462962962956,0.0,0.0
51,8:20-8:30,08:30:00,1.0849,5769.0581,4181.3417,0.0,0.0,264.61940000000004,2664.52474074074,0.0,0.0
52,8:30-8:40,08:40:00,1.061,5754.2105,4471.7657,0.0,0.0,213.74080000000004,2427.0349629629623,0.0,0.0
53,8:40-8:50,08:50:00,1.043,5824.1807,4752.8272,0.0,0.0,178.55891666666673,2228.6361666666658,0.0,0.0
54,8:50-9:00,09:00:00,1.036,5954.2601,5021.9074,0.0,0.0,155.39211666666677,2055.9782592592583,0.0,0.0
55,9:00-9:10,09:10:00,1.0147,5958.9696,5285.4126,0.0,0.0,112.25950000000012,1931.2454814814803,0.0,0.0
56,9:10-9:20,09:20:00,0.9922,5929.5554,5543.1742,0.0,0.0,64.3968666666666,1859.6934074074063,0.0,0.0
57,9:20-9:30,09:30:00,0.97,5923.7828,5788.4093,0.0,0.0,22.56224999999995,1834.6242407407397,0.0,0.0
58,9:30-9:40,09:40:00,0.9422,5907.586,6012.1304,0.0,17.42406666666659,0.0,1850.3059007407396,0.0,1.0
59,9:40-9:50,09:50:00,0.9569,5899.1262,6216.1528,0.0,52.83776666666654,0.0,1897.8598907407395,0.0,1.0
60,9:50-10:00,10:00:00,0.9977,5902.2196,6409.5941,0.0,84.56241666666665,0.0,1973.9660657407394,0.0,1.0
61,10:00-10:10,10:10,0.9919,5897.4793,6599.3808,0.0,116.9835833333334,0.0,2079.2512907407395,0.0,1.0
62,10:10-10:20,10:20,0.9588,5886.7568,6766.7204,0.0,146.66060000000004,0.0,2211.2458307407396,0.0,1.0
63,10:20-10:30,10:30,0.9549,5873.4708,6914.5923,0.0,173.52024999999992,0.0,2367.4140557407395,0.0,1.0
64,10:30-10:40,10:40,0.9839,5858.0308,7064.2053,0.0,201.02908333333323,0.0,2548.3402307407396,0.0,1.0
65,10:40-10:50,10:50,0.799,5844.9948,7197.4315,0.0,225.40611666666655,0.0,2751.2057357407393,0.0,1.0
66,10:50-11:00,11:00,0.5025,5839.0587,7303.1142,0.0,244.00925000000007,0.0,2970.8140607407395,0.0,1.0
67,11:00-11:10,11:10,0.4662,5838.7103,7387.6848,575.1709166666665,833.3333333333333,0.0,3720.8140607407395,0.0,1.0
68,11:10-11:20,11:20,0.5007,5823.4378,7459.227,0.0,272.6315333333332,0.0,3966.1824407407394,0.0,1.0
69,11:20-11:30,11:30,0.4827,5814.7932,7520.7191,0.0,284.3209833333333,0.0,4222.07132574074,0.0,1.0
70,11:30-11:40,11:40,0.4785,5832.3951,7568.2039,179.2771713991827,468.5786380658495,0.0,4643.792100000004,0.0,1.0000000000000047
71,11:40-11:50,11:50,0.4662,5712.901,7592.1539,520.1245166666665,833.3333333333333,0.0,5393.792100000004,0.0,1.0
72,11:50-12:00,12:00,0.4432,5519.4607,7601.0433,486.40289999999993,833.3333333333333,0.0,6143.792100000004,0.0,1.0
73,12:00-12:10,12:10,0.4411,5494.7907,7612.316,480.4124499999999,833.3333333333333,0.0,6893.792100000004,0.0,1.0
74,12:10-12:20,12:20,0.4551,5514.4524,7602.6524,485.29999999999995,833.3333333333333,0.0,7643.792100000004,0.0,1.0
75,12:20-12:30,12:30,0.4463,5485.829,7554.1872,488.6069666666666,833.3333333333333,0.0,8393.792100000004,0.0,1.0
76,12:30-12:40,12:40,0.4113,5462.3628,7472.7384,498.27073333333317,833.3333333333333,0.0,9143.792100000004,0.0,1.0
77,12:40-12:50,12:50,0.5682,5566.1066,7393.4172,0.0,304.5517666666665,0.0,9417.888690000003,0.0,1.0
78,12:50-13:00,13:00,0.8279,5725.7548,7312.7979,0.0,264.5071833333334,0.0,9655.945155000003,0.0,1.0
79,13:00-13:10,13:10,0.8636,5739.4957,7194.541,0.0,242.50754999999992,0.0,9874.201950000002,0.0,1.0
80,13:10-13:20,13:20,0.8416,5714.6836,7053.1371,0.0,223.07558333333316,0.0,10074.969975000002,0.0,1.0
81,13:20-13:30,13:30,0.8618,5717.8505,6910.4064,0.0,198.75931666666656,0.0,10253.853360000001,0.0,1.0
82,13:30-13:40,13:40,0.8623,5708.2486,6772.4075,0.0,177.3598166666668,0.0,10413.477195000001,0.0,1.0
83,13:40-13:50,13:50,0.9026,5696.9182,6607.36,0.0,151.74029999999982,0.0,10550.043465,0.0,1.0
84,13:50-14:00,14:00,0.9754,5692.2983,6412.5085,0.0,120.0350333333331,0.0,10658.074995,0.0,1.0
85,14:00-14:10,14:10,1.0002,5687.1291,6214.0158,0.0,87.81445000000008,0.0,10737.108,0.0,1.0
86,14:10-14:20,14:20,0.9978,5678.962,6000.7112,0.0,53.62486666666655,0.0,10785.37038,0.0,1.0
87,14:20-14:30,14:30,1.0271,5669.4508,5766.9816,0.0,16.255133333333447,0.0,10800.0,0.0,1.0
88,14:30-14:40,14:40,1.0906,5664.1948,5521.5066,0.0,0.0,23.781366666666713,10773.57625925926,0.0,0.0
89,14:40-14:50,14:50,0.9376,5672.7011,5268.781,0.0,0.0,67.32001666666679,10698.77624074074,0.0,0.0
90,14:50-15:00,15:00,0.6694,5682.2544,5009.7152,112.0898666666667,0.0,0.0,10698.77624074074,0.0,-1.519877133365546e-15
91,15:00-15:10,15:10,0.66,5669.0195,4743.4484,266.73269362139905,112.47084362139907,0.0,10800.0,0.0,1.0000000000000075
92,15:10-15:20,15:20,0.7217,5656.3651,4471.224,197.52351666666664,0.0,0.0,10800.0,0.0,0.0
93,15:20-15:30,15:30,0.7308,5657.0867,4188.2025,244.8140333333332,0.0,0.0,10800.0,0.0,0.0
94,15:30-15:40,15:40,0.7534,5662.6008,3889.3931,295.5346166666667,0.0,0.0,10800.0,0.0,0.0
95,15:40-15:50,15:50,0.7823,5669.2596,3594.5946,345.77750000000015,0.0,0.0,10800.0,0.0,0.0
96,15:50-16:00,16:00,0.8055,5673.4767,3303.8878,394.9314833333333,0.0,0.0,10800.0,0.0,0.0
97,16:00-16:10,16:10,0.8271,5671.0146,2998.4247,445.4316500000001,0.0,0.0,10800.0,0.0,0.0
98,16:10-16:20,16:20,0.8519,5661.5926,2687.4131,495.69658333333325,0.0,-0.0,10800.0,0.0,0.0
