date,segment_index,start_period,end_period,interval,energy_kwh
2025-02-01,1,37,69,6:00-11:30,3942.58432766667
2025-02-01,2,72,72,11:50-12:00,20.990333333333332
2025-02-02,1,37,41,6:00-6:50,292.98041666666666
2025-02-02,2,43,57,7:00-9:30,2093.4548666666665
2025-02-02,3,61,64,10:00-10:40,138.4460499999997
2025-02-02,4,67,67,11:00-11:10,1.9614333333332372
2025-02-02,5,90,90,14:50-15:00,30.820716666666687
2025-02-02,6,96,96,15:50-16:00,13.616466666666685
2025-02-02,7,102,102,16:50-17:00,5.08871666666667
2025-02-03,1,37,41,6:00-6:50,316.1594499999999
2025-02-03,2,43,47,7:00-7:50,678.0805333333332
2025-02-03,3,49,53,8:00-8:50,547.426533333333
2025-02-03,4,55,58,9:00-9:40,465.59763333333314
2025-02-04,1,37,41,6:00-6:50,260.20933333333335
2025-02-04,2,43,47,7:00-7:50,809.6895666666663
2025-02-04,3,49,52,8:00-8:40,323.13179999999994
2025-02-04,4,55,65,9:00-10:50,1105.2878499999997
2025-02-04,5,67,67,11:00-11:10,12.51363333333332
2025-02-05,1,37,74,6:00-12:20,4121.682700000001
2025-02-05,2,84,84,13:50-14:00,12.748016666666595
2025-02-06,1,37,41,6:00-6:50,306.6536833333333
2025-02-06,2,43,47,7:00-7:50,567.0888500000001
2025-02-06,3,49,53,8:00-8:50,820.9380333333335
2025-02-06,4,55,58,9:00-9:40,264.8331666666663
2025-02-06,5,61,64,10:00-10:40,319.45965000000024
2025-02-07,1,37,41,6:00-6:50,311.5423333333334
2025-02-07,2,43,47,7:00-7:50,620.48735
2025-02-07,3,49,53,8:00-8:50,475.2109499999999
2025-02-07,4,55,65,9:00-10:50,1192.4901
2025-02-07,5,67,67,11:00-11:10,13.311233333333195
2025-02-08,1,37,41,6:00-6:50,337.7578166666666
2025-02-08,2,43,47,7:00-7:50,683.0821500000002
2025-02-08,3,49,52,8:00-8:40,376.8593166666668
2025-02-08,4,64,66,10:30-11:00,219.10243333333588
2025-02-08,5,68,78,11:10-13:00,848.2913500000001
2025-02-08,6,83,84,13:40-14:00,65.23951666666683
2025-02-08,7,87,90,14:20-15:00,240.44816666666685
2025-02-08,8,95,96,15:40-16:00,92.31953333333338
2025-02-08,9,102,102,16:50-17:00,12.076400000000007
2025-02-09,1,37,41,6:00-6:50,338.28589999999997
2025-02-09,2,43,47,7:00-7:50,552.5251999999997
2025-02-09,3,49,52,8:00-8:40,303.9126000000001
2025-02-09,4,55,56,9:00-9:20,28.017033333333224
2025-02-09,5,67,68,11:00-11:20,83.45569999999998
2025-02-09,6,70,71,11:30-11:50,32.18416666666659
2025-02-09,7,73,78,12:00-13:00,173.3187500000002
2025-02-09,8,84,84,13:50-14:00,32.32623333333337
2025-02-09,9,90,90,14:50-15:00,50.32363333333326
2025-02-10,1,37,47,6:00-7:50,1187.1459999999997
2025-02-10,2,49,52,8:00-8:40,494.9970666666667
2025-02-10,3,55,56,9:00-9:20,159.84580000000005
2025-02-10,4,61,61,10:00-10:10,28.96218333333339
2025-02-10,5,96,96,15:50-16:00,7.24735000000002
2025-02-11,1,37,72,6:00-12:00,4084.752366666665
2025-02-12,1,37,41,6:00-6:50,363.92373333333336
2025-02-12,2,43,47,7:00-7:50,571.1240999999999
2025-02-12,3,49,53,8:00-8:50,584.5207499999999
2025-02-12,4,55,57,9:00-9:30,274.03871666666646
2025-02-12,5,61,61,10:00-10:10,21.032400000000052
2025-02-12,6,67,67,11:00-11:10,11.226466666666813
2025-02-13,1,37,41,6:00-6:50,414.6977833333333
2025-02-13,2,43,47,7:00-7:50,613.7302166666666
2025-02-13,3,49,53,8:00-8:50,705.9950499999998
2025-02-13,4,55,58,9:00-9:40,400.1870333333334
2025-02-13,5,84,84,13:50-14:00,47.99293333333344
2025-02-13,6,89,90,14:40-15:00,39.17176666666668
2025-02-13,7,96,96,15:50-16:00,22.99609999999999
2025-02-13,8,102,102,16:50-17:00,8.47305
2025-02-14,1,37,41,6:00-6:50,369.69416666666655
2025-02-14,2,43,47,7:00-7:50,625.5999
2025-02-14,3,49,52,8:00-8:40,220.46739423868306
2025-02-14,4,68,70,11:10-11:40,43.23826666666688
2025-02-14,5,73,78,12:00-13:00,439.7668666666664
2025-02-14,6,81,84,13:20-14:00,262.58430000000027
2025-02-14,7,89,90,14:40-15:00,105.82
2025-02-14,8,95,96,15:40-16:00,66.39511666666665
2025-02-14,9,102,102,16:50-17:00,12.076700000000017
2025-02-15,1,37,59,6:00-9:50,2849.4213999999997
2025-02-15,2,61,62,10:00-10:20,34.11073333333343
2025-02-16,1,37,41,6:00-6:50,420.50603333333333
2025-02-16,2,43,47,7:00-7:50,669.4405166666667
2025-02-16,3,49,53,8:00-8:50,630.1005999999998
2025-02-16,4,55,62,9:00-10:20,455.0715666666666
2025-02-16,5,67,70,11:00-11:40,114.70983333333348
2025-02-17,1,37,41,6:00-6:50,482.0289833333333
2025-02-17,2,43,47,7:00-7:50,680.9156166666668
2025-02-17,3,49,51,8:00-8:30,206.0105666666665
2025-02-17,4,55,57,9:00-9:30,147.9593166666667
2025-02-17,5,96,96,15:50-16:00,27.509349999999962
2025-02-18,1,37,53,6:00-8:50,1852.6344333333334
2025-02-18,2,55,57,9:00-9:30,293.4984333333333
2025-02-18,3,63,84,10:20-14:00,1776.2601999999983
2025-02-18,4,88,90,14:30-15:00,117.64758333333339
2025-02-19,1,37,41,6:00-6:50,485.6655333333333
2025-02-19,2,43,53,7:00-8:50,1325.4360499999998
2025-02-19,3,55,72,9:00-12:00,1995.6261166666675
2025-02-19,4,75,78,12:20-13:00,244.6696
2025-02-19,5,83,84,13:40-14:00,76.89908333333324
2025-02-19,6,96,96,15:50-16:00,32.96976666666667
2025-02-19,7,102,102,16:50-17:00,9.416616666666659
2025-02-20,1,37,41,6:00-6:50,566.8191499999999
2025-02-20,2,43,47,7:00-7:50,683.8930166666665
2025-02-20,3,49,53,8:00-8:50,785.1070666666665
2025-02-20,4,55,56,9:00-9:20,102.21769999999998
2025-02-20,5,84,84,13:50-14:00,5.968933333333401
2025-02-20,6,96,96,15:50-16:00,27.418749999999967
2025-02-20,7,102,102,16:50-17:00,19.323299999999996
2025-02-21,1,37,47,6:00-7:50,1239.9925166666665
2025-02-21,2,49,51,8:00-8:30,125.67031666666655
2025-02-21,3,73,73,12:00-12:10,12.093333333333248
2025-02-21,4,75,78,12:20-13:00,140.55271666666627
2025-02-21,5,82,84,13:30-14:00,140.27614999999983
2025-02-21,6,88,90,14:30-15:00,180.6762999999999
2025-02-21,7,96,96,15:50-16:00,23.95205000000002
2025-02-21,8,102,102,16:50-17:00,14.74208333333333
2025-02-22,1,37,50,6:00-8:20,1572.7078666666666
2025-02-22,2,60,61,9:50-10:10,94.13946666666597
2025-02-22,3,70,71,11:30-11:50,20.44508333333336
2025-02-22,4,73,74,12:00-12:20,64.34655000000005
2025-02-22,5,76,78,12:30-13:00,139.86368333333348
2025-02-22,6,96,96,15:50-16:00,39.94091666666668
2025-02-23,1,37,41,6:00-6:50,544.6084833333333
2025-02-23,2,43,66,7:00-11:00,3184.1609833333346
2025-02-23,3,75,75,12:20-12:30,0.2556166666666589
2025-02-23,4,102,102,16:50-17:00,2.570216666666662
2025-02-24,1,37,41,6:00-6:50,522.6998333333333
2025-02-24,2,43,46,7:00-7:40,462.518
2025-02-24,3,49,52,8:00-8:40,590.53615
2025-02-24,4,55,57,9:00-9:30,129.33121666666662
2025-02-24,5,61,78,10:00-13:00,2123.5953666666665
2025-02-25,1,37,41,6:00-6:50,581.4847666666666
2025-02-25,2,43,46,7:00-7:40,404.28745
2025-02-25,3,49,51,8:00-8:30,336.07888333333347
2025-02-25,4,55,55,9:00-9:10,47.793699999999866
2025-02-25,5,102,102,16:50-17:00,2.8031833333333225
2025-02-26,1,37,41,6:00-6:50,647.43055
2025-02-26,2,43,47,7:00-7:50,807.6565833333332
2025-02-26,3,49,69,8:00-11:30,2489.104383333333
2025-02-26,4,71,78,11:40-13:00,1085.6104666666656
2025-02-26,5,84,84,13:50-14:00,39.9378166666667
2025-02-26,6,89,90,14:40-15:00,159.72839999999997
2025-02-26,7,95,96,15:40-16:00,60.89510000000003
2025-02-26,8,102,102,16:50-17:00,21.54324999999998
2025-02-27,1,37,41,6:00-6:50,530.2750666666666
2025-02-27,2,43,47,7:00-7:50,709.5799166666666
2025-02-27,3,49,64,8:00-10:40,2087.4354500000004
2025-02-27,4,75,78,12:20-13:00,90.00338333333319
2025-02-27,5,83,84,13:40-14:00,95.65158333333328
2025-02-27,6,89,90,14:40-15:00,96.22865000000002
2025-02-27,7,96,96,15:50-16:00,20.325499999999995
2025-02-27,8,102,102,16:50-17:00,12.080083333333315
2025-02-28,1,37,49,6:00-8:10,1785.449266666667
2025-02-28,2,68,78,11:10-13:00,850.8499833333334
2025-02-28,3,96,96,15:50-16:00,19.06526666666673
2025-03-01,1,37,41,6:00-6:50,542.4344333333333
2025-03-01,2,43,47,7:00-7:50,759.9084166666665
2025-03-01,3,49,53,8:00-8:50,370.5166999999999
2025-03-01,4,55,57,9:00-9:30,208.69239999999976
2025-03-01,5,67,70,11:00-11:40,131.5270999999998
2025-03-02,1,37,67,6:00-11:10,3966.09245
2025-03-02,2,71,72,11:40-12:00,70.17864999999983
2025-03-03,1,37,47,6:00-7:50,1379.6049500000001
2025-03-03,2,49,53,8:00-8:50,410.85548333333344
2025-03-03,3,55,59,9:00-9:50,273.6538499999998
2025-03-03,4,61,61,10:00-10:10,23.69561666666656
2025-03-03,5,95,96,15:40-16:00,110.0341999999999
2025-03-03,6,101,102,16:40-17:00,50.70094999999998
2025-03-04,1,37,41,6:00-6:50,655.9511166666666
