date,t,time_label,price,load_kw,pv_kw,pvfc_kw,q_kwh,charge_kwh,discharge_kwh,E_kwh,kappa_plan_kwh,emergency_kwh,kappa_act_kwh,surplus_kwh,y_binary
2025-02-01,1,0:00-0:10,0.4248,2532.1822,0,0,422.0303667,0,0,6000,0,0,0,0,0
2025-02-01,2,0:10-0:20,0.4245,2492.4439,0,0,1136.509559,721.1022428,0,6648.992019,0,0,0,0,1
2025-02-01,3,0:20-0:30,0.4269,2464.3,0,0,410.7166667,0,0,6648.992019,0,0,0,0,0
2025-02-01,4,0:30-0:40,0.4272,2581.7688,0,0,430.2948,0,0,6648.992019,0,0,0,0,0
2025-02-01,5,0:40-0:50,0.4271,2546.4635,0,0,424.4105833,0,0,6648.992019,0,0,0,0,0
2025-02-01,6,0:50-1:00,0.4285,2436.31,0,0,406.0516667,0,0,6648.992019,0,0,0,0,0
2025-02-01,7,1:00-1:10,0.4311,2620.5011,0,0,436.7501833,0,0,6648.992019,0,0,0,0,0
2025-02-01,8,1:10-1:20,0.4302,2710.7861,0,0,451.7976833,0,0,6648.992019,0,0,0,0,0
2025-02-01,9,1:20-1:30,0.4279,2676.48,0,0,446.08,0,0,6648.992019,0,0,0,0,0
2025-02-01,10,1:30-1:40,0.4312,2830.598,0,0,471.7663333,0,0,6648.992019,0,0,0,0,0
2025-02-01,11,1:40-1:50,0.4333,2688.1558,0,0,448.0259667,0,0,6648.992019,0,0,0,0,0
2025-02-01,12,1:50-2:00,0.4311,2384.42,0,0,397.4033333,0,0,6648.992019,0,0,0,0,0
2025-02-01,13,2:00-2:10,0.4293,2604.5438,0,0,434.0906333,0,0,6648.992019,0,0,0,0,0
2025-02-01,14,2:10-2:20,0.4324,2943.3655,0,0,490.5609167,0,0,6648.992019,0,0,0,0,0
2025-02-01,15,2:20-2:30,0.4367,3019.32,0,0,503.22,0,0,6648.992019,0,0,0,0,0
2025-02-01,16,2:30-2:40,0.4348,2844.4369,0,0,474.0728167,0,0,6648.992019,0,0,0,0,0
2025-02-01,17,2:40-2:50,0.4335,2768.3064,0,0,461.3844,0,0,6648.992019,0,0,0,0,0
2025-02-01,18,2:50-3:00,0.4357,2861.65,0,0,476.9416667,0,0,6648.992019,0,0,0,0,0
2025-02-01,19,3:00-3:10,0.4374,2900.3973,0,0,483.39955,0,0,6648.992019,0,0,0,0,0
2025-02-01,20,3:10-3:20,0.4371,2919.6115,0,0,486.6019167,0,0,6648.992019,0,0,0,0,0
2025-02-01,21,3:20-3:30,0.4356,2993.09,0,0,498.8483333,0,0,6648.992019,0,0,0,0,0
2025-02-01,22,3:30-3:40,0.4353,3109.8584,0,0,518.3097333,0,0,6648.992019,0,0,0,0,0
2025-02-01,23,3:40-3:50,0.436,3054.8008,0,0,509.1334667,0,0,6648.992019,0,0,0,0,0
2025-02-01,24,3:50-4:00,0.4378,2901.7,0,0,483.6166667,0,0,6648.992019,0,0,0,0,0
2025-02-01,25,4:00-4:10,0.4401,2947.1208,0,0,491.1868,0,0,6648.992019,0,0,0,0,0
2025-02-01,26,4:10-4:20,0.4389,3027.8717,0,0,504.6452833,0,0,6648.992019,0,0,0,0,0
2025-02-01,27,4:20-4:30,0.4364,3033.47,0,0,505.5783333,0,0,6648.992019,0,0,0,0,0
2025-02-01,28,4:30-4:40,0.4393,3019.3858,0,0,503.2309667,0,0,6648.992019,0,0,0,0,0
2025-02-01,29,4:40-4:50,0.4422,3017.0819,0.0014,0,502.8469833,0,0,6648.992019,0,0,0.0002333333333,0.0002333333333,0
2025-02-01,30,4:50-5:00,0.4395,2997.85,0,0,499.6416667,0,0,6648.992019,0,0,0,0,0
2025-02-01,31,5:00-5:10,0.4333,2932.7015,0,0,488.7835833,0,0,6648.992019,0,0,0,0,0
2025-02-01,32,5:10-5:20,0.4439,2991.1125,0.0199,0,498.51875,0,0,6648.992019,0,0,0.003316666667,0.003316666667,0
2025-02-01,33,5:20-5:30,0.4301,3175.34,0,0,529.2233333,0,0,6648.992019,0,0,0,0,0
2025-02-01,34,5:30-5:40,0.3713,3284.4619,0,0,1380.74365,833.3333333,0,7398.992019,0,0,0,0,1
2025-02-01,35,5:40-5:50,0.5708,3187.3644,0.2774,0,0,0,531.2274,6808.739352,0,0,0.04623333333,0.04623333333,0
2025-02-01,36,5:50-6:00,0.9099,3065.9,0,0,0,0,510.9833333,6240.980093,0,0,0,0,0
2025-02-01,37,6:00-6:10,0.9368,3211.1231,0,351.8186,0,0,476.55075,5711.479259,0,58.63643333,0,-58.63643333,0
2025-02-01,38,6:10-6:20,0.8758,3203.9961,3.8641,351.8186,0,0,475.3629167,5183.298241,0,57.99241667,0,-57.99241667,0
2025-02-01,39,6:20-6:30,0.8759,3027.12,0,351.8186,0,0,445.8835667,4687.872056,0,58.63643333,0,-58.63643333,0
2025-02-01,40,6:30-6:40,0.8601,3117.3221,0,351.8186,0,0,460.91725,4175.741778,0,58.63643333,0,-58.63643333,0
2025-02-01,41,6:40-6:50,0.8442,3398.49,89.6095,351.8186,0,0,507.7785667,3611.54337,0,43.70151667,0,-43.70151667,0
2025-02-01,42,6:50-7:00,0.8334,3652.75,340.5,351.8186,0,0,550.1552333,3000.259778,0,1.886433333,0,-1.886433333,0
2025-02-01,43,7:00-7:10,0.8092,3703.2843,615.936,2055.0921,0,0,274.6987,2695.039,0,239.85935,0,-239.85935,0
2025-02-01,44,7:10-7:20,0.7972,3572.3788,884.9275,2055.0921,0,0,252.8811167,2414.059981,0,195.0274333,0,-195.0274333,0
2025-02-01,45,7:20-7:30,0.7644,3477.22,1140.675,2055.0921,0,0,237.0213167,2150.702963,0,152.40285,0,-152.40285,0
2025-02-01,46,7:30-7:40,0.6899,3654.0022,1388.0797,2055.0921,0,0,266.4850167,1854.6085,0,111.1687333,0,-111.1687333,0
2025-02-01,47,7:40-7:50,0.86,3841.4201,1674.452,2055.0921,0,0,297.7213333,1523.807019,0,63.44001667,0,-63.44001667,0
2025-02-01,48,7:50-8:00,1.1617,3803.65,2004.1125,2055.0921,0,0,291.4263167,1200,0,8.4966,0,-8.4966,0
2025-02-01,49,8:00-8:10,1.1683,3545.4639,2332.1065,3840.8664,0,49.23375,0,1244.310375,0,251.4599833,0,-251.4599833,1
2025-02-01,50,8:10-8:20,1.0956,3411.349,2632.5934,3840.8664,0,0,37.810039,1202.299221,109.3962723,91.982561,0,-91.982561,0
2025-02-01,51,8:20-8:30,1.0849,3445.37,2927.6625,3840.8664,0,65.91606667,0,1261.623681,0,152.20065,0,-152.20065,1
2025-02-01,52,8:30-8:40,1.061,3467.1139,3251.299,3840.8664,0,62.29208333,0,1317.686556,-0,98.26123333,0,-98.26123333,1
2025-02-01,53,8:40-8:50,1.043,3894.4802,3519.7566,3840.8664,0,0,8.935633333,1307.758074,0,53.5183,0,-53.5183,0
2025-02-01,54,8:50-9:00,1.036,4422.76,3731.7,3840.8664,0,0,96.98226667,1200,0,18.1944,0,-18.1944,0
2025-02-01,55,9:00-9:10,1.0147,4267.5205,3992.5758,5817.8346,0,111.6963167,0,1300.526685,146.6893667,157.5204333,0,-157.5204333,1
2025-02-01,56,9:10-9:20,0.9922,4190.1702,4378.3332,5817.8346,0,271.2774,0,1544.676345,0,239.9169,0,-239.9169,1
2025-02-01,57,9:20-9:30,0.97,4418.32,4788.525,5817.8346,0,233.2524333,0,1754.603535,0,171.5516,0,-171.5516,1
2025-02-01,58,9:30-9:40,0.9422,4399.2754,5029.9241,5817.8346,0,236.4265333,0,1967.387415,0,131.3184167,0,-131.3184167,1
2025-02-01,59,9:40-9:50,0.9569,4182.7342,5203.9177,5817.8346,0,272.5167333,0,2212.652475,0,102.3194833,0,-102.3194833,1
